Sports,States,Cat_Dog,Pets,Gender,Browser,Shoes,Height,MO_Height,FA_Height,Arrival,Sleep,Number,Hand,Credit
NBA,6,Dog,1,Male,Chrome,3,67,59,67,20,6,2,Right,7
NBA,22,Cat,2,Male,Chrome,4,72,65,75,7,8,2,Right,18
Other,10,Dog,1,Female,Safari,4,65,NA,70,10,9,3,Right,15
NHL,15,Dog,2,Female,Chrome,21,65,68,71,5,10,7,Right,15
NFL,15,Dog,1,Female,Chrome,15,66,65,71,10,7.5,3,Right,15
MLB,25,Dog,1,Male,Chrome,2,70,61,72,10,7,10,Right,15
NBA,5,Dog,1,Female,Chrome,6,66,67,62,5,8,10,Right,15
NFL,12,Dog,2,Female,Chrome,15,63,65,74,10,8,7,Right,17
Other,5,Cat,0,Male,Other,5,66,64,65,9,7,5,Left,17
NHL,10,Dog,1,Female,Chrome,6,65,65,72,10,8,6,Right,16
MLB,11,Dog,0,Female,Safari,9,63,65,70,15,5,8,Right,16
NHL,4,Dog,2,Female,Chrome,8,63,62,69,9,8,7,Right,15
NBA,6,Dog,1,Male,Chrome,3,67,59,67,20,6,2,Right,6
NHL,9,Dog,4,Female,Chrome,7,69,64,71,13,7.5,7,Right,15
Other,7,Dog,3,Female,Safari,10,65,64,67,10,7,8,Right,18
Other,5,Cat,1,Male,Edge,4,72,67,70,7,8,8,Right,15
NFL,10,Dog,0,Female,Chrome,20,65,67,74,3,7.5,7,Right,15
NBA,15,Dog,2,Female,Chrome,6,67,69,71,NA,3,9,NA,18
NBA,14,Dog,1,Male,Safari,20,NA,NA,NA,10,8,1,Right,15
MLB,19,Dog,1,Female,Safari,9,65,65,73,7,7,2,Right,15
MLB,15,Dog,0,Female,Chrome,10,64,62,71,10,7,5,Right,17
NHL,12,Dog,2,Female,Safari,15,63,68,71,8,6,7,Right,13
MLB,11,Dog,2,Female,Safari,8,61,64,68,8,7.5,5,Right,15
NBA,3,Cat,2,Male,Edge,9,68,65,68,15,7.5,7,Right,16
NFL,6,Dog,3,Female,Safari,10,63,61,NA,5,8.5,3,Right,15
NFL,15,Dog,3,Male,Chrome,8,72,67,72,10,4,6,Right,18
NFL,6,Dog,2,Female,Chrome,8,62,64,67,10,8,10,Right,12
Other,15,Dog,0,Male,Other,3,73,68,70,10,7,4,Right,17
Other,5,Cat,2,Male,Firefox,2,69,NA,NA,30,9,3,Right,18
Other,12,Dog,2,Male,Chrome,3,71,65,72,10,7,7,Right,16
Other,13,Dog,1,Female,Chrome,10,68,64,78,5,5,4,Right,18
NBA,4,Cat,0,Male,Chrome,3,73,NA,NA,10,9,7,Right,15
Other,1,Cat,2,Male,Chrome,5,73,NA,NA,13,8,4,Right,13
NFL,15,Dog,1,Female,Chrome,5,63,61,65,8,7,5,Right,12
NBA,35,Dog,1,Female,Chrome,14,68,65,69,10,8.5,2,Right,18
NHL,8,Dog,7,Male,Safari,4,63,60,65,NA,8,7,Left,16
Other,9,Dog,0,Female,Chrome,9,67,65,69,10,8,5,Right,18
MLB,17,Dog,1,Female,Chrome,10,62,59,66,10,8,6,Right,15
NFL,5,Other,0,Female,Safari,6,65,64,64,8,8,5,Right,14
NBA,5,Other,0,Female,Safari,6,65,64,64,8,8,5,Right,14
Other,8,Cat,0,Female,Chrome,9,63,63,68,NA,5,7,Right,12
